Index Change,Ticker,Announced,Trade Date,Action,Last Px,Sector,Shs to Trade,$MM to Trade,ADV to Trade,Comments,Unnamed: 11
MSCI SC,ALVR,2022-07-27,2022-07-29,Upweight,#N/A Requesting Data... US Equity,Health Care,120816,-,-,,
MSCI SC,WBT,2022-07-26,2022-07-28,Delete,,Industrials,-1189582,-,-,,
Russell 2000,WBT,2022-07-22,2022-07-28,Delete,23.98,Industrials,-18222747,-437,-8,Acq for $24 per share in cash,
Russell 2000,LMND,2022-07-25,2022-07-27,Upweight,19.39,Financials,892237,17.3,0.89,Acq MILE in a stock deal for 0.526 LMND per MILE held.,
MSCI SC,LMND,2022-07-25,2022-07-27,Upweight,19.39,Financials,38600,0.7,0.04,Acq MILE in a stock deal for 0.526 LMND per MILE held.,
SP400,SAFM,2022-07-22,2022-07-26,Delete,204,Consumer Staples,-,-,-,SAFM was for $203.00 per share in cash. Deal closed July 22.,
SP400,MP,2022-07-22,2022-07-26,Add,28.46,Materials,8186835,233,3.24,Replaces SAFM in SP400,
MSCI SC,SAFM,2022-07-22,2022-07-26,Delete,204,Consumer Staples,-,-,-,SAFM was for $203.00 per share in cash. Deal closed July 22.,
SP400,NOVT,2022-07-21,2022-07-25,Add,154.61,Information Technology,3919050,-,21.61,Replaces Six Flags Entertainment Corp (XNYS: SIX) in SP400,
SP400,SIX,2022-07-21,2022-07-25,Delete,21.98,Consumer Discretionary,-8538330,-,-3.23,Moved to SP600,
SP600,SIX,2022-07-21,2022-07-25,Add,21.98,Consumer Discretionary,10540168,-,3.99,Moved from SP400,
SP600,NTUS,2022-07-21,2022-07-25,Delete,-,Health Care,-4821149,-,-,ArchiMed acq NTUS for $33.50 per share in cash. Deal closed July 21.,
Russell 1000,CCL,2022-07-21,2022-07-25,Downweight,9.36,Consumer Discretionary,3288558,-,0.05,CCL completed a secondary offering of new shares.,
MSCI Std,CCL,2022-07-21,2022-07-25,Upweight,9.36,Consumer Discretionary,3531096,-,0.05,CCL completed a secondary offering of new shares.,
MSCI SC,VERV,2022-07-21,2022-07-25,Upweight,22.7,Health Care,113667,-,0.11,Equity Offering,
MSCI SC,NTUS,2022-07-21,2022-07-25,Delete,-,Health Care,-302792,-,-,ArchiMed acq NTUS for $33.50 per share in cash. Deal closed July 21.,
Russell 1000,HTA,2022-07-18,2022-07-21,Upweight,29.22,Real Estate,5527838,161.5,0.81,HTA acq HR for 1 HTA per HR held. Original HTA holders to receive $4.82 dividend. HR exp LDOT 7/20.,
Russell 2000,HR,2022-07-18,2022-07-21,Delete,24.42,Real Estate,-21871013,-534.1,-3.41,HTA acq HR for 1 HTA per HR held. HR exp LDOT 7/20.,
SP600,SHO,2022-07-18,2022-07-20,Add,10.01,Real Estate,29638721,296.7,8.83,Replaces VG in the SP600,
SP600,VG,2022-07-18,2022-07-20,Delete,20.98,Information Technology,-33175084,-696,-7.71,Acq for $21 per share in cash. Exp LDOT 7/20,
Russell 2000,VG,2022-07-18,2022-07-20,Delete,20.98,Information Technology,-35609949,-747.1,-8.28,Acq for $21 per share in cash. Exp LDOT 7/20,
MSCI Std,HTA,2022-07-18,2022-07-20,MSCI SC to Std,29.22,Real Estate,9517648,278.1,1.4,HTA migrated to MSCI Standard concurrent with acquisition of HR. HTA acq HR for 1 HTA per HR held. Original HTA holders to receive $4.82 dividend. HR exp LDOT 7/20.,
MSCI SC,HTA,2022-07-18,2022-07-20,MSCI SC to Std,29.22,Real Estate,-1943375,-56.8,-0.29,HTA migrated to MSCI Standard concurrent with acquisition of HR. HTA acq HR for 1 HTA per HR held. Original HTA holders to receive $4.82 dividend. HR exp LDOT 7/20.,
MSCI SC,HR,2022-07-18,2022-07-20,Delete,24.42,Real Estate,-1330218,-32.5,-0.21,HTA acq HR for 1 HTA per HR held. HR exp LDOT 7/20.,
MSCI SC,VG,2022-07-18,2022-07-20,Delete,20.98,Information Technology,-2235534,-46.9,-0.52,Acq for $21 per share in cash. Exp LDOT 7/20,
Russell 2000,VG,2022-07-15,2022-07-20,Delete,20.98,Information Technology,-35406027,-742.8,-8.26,Acq for $21 per share in cash. Exp LDOT 7/20,
SP400,HTA,2022-07-13,2022-07-20,Add,28.55,Real Estate,25141165,717.8,5.64,"HTA joins the SP400 following acq of HR. Note that due to inclusion concurrent with deal completion, indexers will receive a portion of their required HTA by virtue of owning HR through deal close - these trade estimates reflect that.",
SP400,HR,2022-07-13,2022-07-20,Delete,24.98,Real Estate,-,-,-,HTA acq HR for 1 share of HTA per HR held.,
Russell 2000,PSB,2022-07-15,2022-07-19,Delete,187.2,Real Estate,-2781750,-520.7,-8.4,BX acq PSB for $187.50 per share. Exp. LDOT 7/19,
MSCI SC,PSB,2022-07-15,2022-07-19,Delete,187.2,Real Estate,-182093,-34.1,-0.55,BX acq PSB for $187.50 per share. Exp. LDOT 7/19,
SP400,PSB,2022-07-13,2022-07-19,Delete,187.05,Real Estate,-2213668,-414.1,-7.32,BX acq PSB for $187.50 per share. Note trade quantity will likely be diminished by indexers that hold PSB through deal close for cash consideration.,
SP400,COKE,2022-07-13,2022-07-19,SP600 to SP400,579.28,Consumer Staples,505404,292.8,10.89,Moved from SP600,
SP600,COKE,2022-07-13,2022-07-19,SP600 to SP400,579.28,Consumer Staples,-604828,-350.4,-13.04,Moved to SP400,
SP600,GRBK,2022-07-13,2022-07-19,Add,21.71,Consumer Discretionary,6240593,135.5,12.97,Replaces COKE in the SP600,
MSCI SC,GOSS,2022-07-13,2022-07-15,Upweight,9.51,Health Care,46939,0.4,0.05,Private placement,
Russell 2000,ADTN,2022-07-08,2022-07-12,Downweight,19.97,Information Technology,2933710,-,-,ADTN acq ADVA Optical Networking SE through a share exchange offer. Each share tendered will be exchanged for 0.8244 shares of ADTN,
MSCI SC,ADTN,2022-07-08,2022-07-12,Upweight,19.97,Information Technology,255647,-,-,ADTN acq ADVA Optical Networking SE through a share exchange offer. Each share tendered will be exchanged for 0.8244 shares of ADTN,
SP600,ADTN,2022-07-07,2022-07-12,Downweight,19.97,Information Technology,3678490,-,5.92,"ADTRAN, Inc. (XNAS: ADTN) is to acquire ADVA Optical Networking SE (XETR: ADGE) through a share exchange offer. Each share of ADGE tendered will be exchanged for 0.8244 shares of ADTN. A total 33,957,538 shares were tendered, representing 65% of the shares outstanding. Tendered shares are expected to be removed from trading after the close of trading on July 12. SPDJI will adjust the shares and IWF to account for the shares repurchased in tender offering.",
MSCI SC,CDK,2022-07-05,2022-07-07,Delete,54.76,Information Technology,-,-,-,Acq for $54.87 per share in cash. CDK has been halted.,
Russell 2000,GTYH,2022-07-01,2022-07-06,Delete,6.29,Information Technology,-4948136,-31.1,-6.58,Acq for $6.30 per share in cash.,
SP400,CCMP,2022-06-28,2022-07-06,Delete,179.58,Information Technology,-3140544,-564,-8.38,ENTG acq CCMP for $133.00 and 0.4506 ENTG per CCMP held. CCMP exp LDOT 7/5,
SP400,ORA,2022-06-28,2022-07-06,Add,72.29,Utilities,4922449,355.8,9.48,Replaces CCMP in the SP400,
Russell 1000,ENTG,2022-06-30,2022-07-05,Upweight,92.13,Information Technology,568918,52.4,0.37,ENTG acq CCMP for $133.00 and 0.4506 ENTG per CCMP held. CCMP exp LDOT 7/5,
Russell 2000,CCMP,2022-06-30,2022-07-05,Delete,174.49,Information Technology,-3932398,-686.2,-9.95,ENTG acq CCMP for $133.00 and 0.4506 ENTG per CCMP held. CCMP exp LDOT 7/5,
MSCI Std,ENTG,2022-06-30,2022-07-05,Upweight,92.13,Information Technology,321927,29.7,0.21,ENTG acq CCMP for $133.00 and 0.4506 ENTG per CCMP held. CCMP exp LDOT 7/5,
MSCI SC,CCMP,2022-06-30,2022-07-05,Delete,174.49,Information Technology,-251483,-43.9,-0.64,ENTG acq CCMP for $133.00 and 0.4506 ENTG per CCMP held. CCMP exp LDOT 7/5,
MSCI SC,MCRB,2022-06-30,2022-07-05,Upweight,3.43,Health Care,304318,1,0.23,Equity offering,
SP400,CDK,2022-06-28,2022-07-05,Delete,54.73,Information Technology,-12816694,-701.5,-8.03,Acq for $54.87 per share in cash. Tender offer to expire 5PM ET on 7/1,
SP400,SWN,2022-06-28,2022-07-05,SP600 to SP400,7.37,Energy,122516052,902.9,2.76,Moved from SP600,
SP600,SWN,2022-06-28,2022-07-05,SP600 to SP400,7.37,Energy,-149880248,-1104.6,-3.38,Moved to SP400,
SP600,FTDR,2022-06-28,2022-07-05,Add,22.12,Consumer Discretionary,11196959,247.7,7.25,Replaces SWN in the SP600,
SP400,FULT,2022-06-29,2022-07-01,Upweight,14.74,Financials,679854,10,0.56,FULT acq PBIP for $3.65 and 0.7974 FULT per PBIP held. PBIP exp LDOT 6/30,
Russell 2000,SWM,2022-06-29,2022-07-01,Upweight,25.17,Materials,-,-,-,SWM acq NP for 1.358 shares SWM per NP held. NP exp. LDOT 7/1,
Russell 2000,NP,2022-06-29,2022-07-01,Delete,34.16,Materials,-,-,-,SWM acq NP for 1.358 shares SWM per NP held. NP exp. LDOT 7/1,
MSCI SC,FULT,2022-06-29,2022-07-01,Upweight,14.74,Financials,54519,0.8,0.04,FULT acq PBIP for $3.65 and 0.7974 FULT per PBIP held. PBIP exp LDOT 6/30,
MSCI SC,SWM,2022-06-29,2022-07-01,Upweight,25.17,Materials,-,-,-,SWM acq NP for 1.358 shares SWM per NP held. NP exp. LDOT 7/1,
MSCI SC,NP,2022-06-29,2022-07-01,Delete,34.16,Materials,-,-,-,SWM acq NP for 1.358 shares SWM per NP held. NP exp. LDOT 7/1,
MSCI SC,IIVI,2022-06-29,2022-07-01,Upweight,51.89,Information Technology,-,-,-,IIVI is to acquire COHR for $220.00 and 0.91 IIVI per COHR held. COHR exp. LDOT 6/30,
MSCI SC,COHR,2022-06-29,2022-07-01,Delete,267.07,Information Technology,-,-,-,IIVI is to acquire COHR for $220.00 and 0.91 IIVI per COHR held. COHR exp. LDOT 6/30,
SP400,IIVI,2022-06-28,2022-07-01,Upweight,53.29,Information Technology,-,-,-,IIVI is to acquire COHR for $220.00 and 0.91 IIVI per COHR held. Expected completion 7/1,
SP400,COHR,2022-06-28,2022-07-01,Delete,268.22,Information Technology,-,-,-,IIVI is to acquire COHR for $220.00 and 0.91 IIVI per COHR held. Expected completion 7/1,
SP400,EHAB,2022-06-28,2022-07-01,SP400 to SP600,24.75,Health Care,-5474195,-135.5,-,Spin-off demotion to SP600,
SP600,EHAB,2022-06-28,2022-07-01,SP400 to SP600,24.75,Health Care,6956269,172.2,-,Spin-off demotion from SP400,
SP400,OMCL,2022-06-28,2022-07-01,SP600 to SP400,120.11,Health Care,4852940,582.9,12.15,Moved from SP600,
SP600,OMCL,2022-06-28,2022-07-01,SP600 to SP400,120.11,Health Care,-5807617,-697.6,-14.54,Moved to SP400,
SP600,LRN,2022-06-28,2022-07-01,Add,37.77,Consumer Discretionary,5795597,218.9,9.13,Replaces OMCL in the SP600,
SP600,LYLT,2022-06-28,2022-07-01,Delete,4.2,Communication Services,-2779039,-11.7,-3.07,Discretionary Drop,
SP600,NP,2022-06-28,2022-07-01,Delete,34.03,Materials,-,-,-,SWM acq NP for 1.358 shares SWM per NP held. NP exp. LDOT 7/1,
SP600,SNCY,2022-06-28,2022-07-01,Add,17.01,Industrials,4214945,71.7,6.87,Replaces NP in the SP600,
SP600,SWM,2022-06-28,2022-07-01,Upweight,25.07,Materials,-,-,-,SWM acq NP for 1.358 shares SWM per NP held. NP exp. LDOT 7/1,
MSCI SC,EHAB,2022-06-28,2022-07-01,Add,24.75,Health Care,-,-,-,Spin off from EHC. EHC holders to receive 0.5 EHAB per EHC held.,
MSCI SC,OAS,2022-06-28,2022-07-01,Upweight,140.49,Energy,-,-,-,OAS to acq WLL for $6.25 and 0.5774 shares OAS per WLL held. WLL exp LDOT 6/30. Please note that MSCI is dropping WLL one day prior to upweighting OAS.,
SP400,EHAB,2022-06-28,2022-06-30,Add,24.75,Health Care,-,-,-,Spin off from EHC. EHC holders to receive 0.5 EHAB per EHC held.,
Russell 2000,OAS,2022-06-28,2022-06-30,Upweight,140.49,Energy,-,-,-,OAS to acq WLL for $6.25 and 0.5774 shares OAS per WLL held. WLL exp LDOT 6/30,
Russell 2000,WLL,2022-06-28,2022-06-30,Delete,78.69,Energy,-,-,-,OAS to acq WLL for $6.25 and 0.5774 shares OAS per WLL held. WLL exp LDOT 6/30,
MSCI SC,WLL,2022-06-28,2022-06-30,Delete,78.69,Energy,-,-,-,OAS to acq WLL for $6.25 and 0.5774 shares OAS per WLL held. WLL exp LDOT 6/30. Please note that MSCI is dropping WLL one day prior to upweighting OAS.,
Russell 1000,EHAB,2022-06-27,2022-06-30,Add,24.75,Health Care,-,-,-,Spin off from EHC. EHC holders to receive 0.5 EHAB per EHC held. Currently trading under w/i ticker EHAB-W,
Russell 2000,TYDE,2022-06-27,2022-06-29,Add,6.2,Materials,-,-,-,Spin off from BBIG. BBIG holders to receive 0.1 TYDE per BBIG held. Currently trading under w/i ticker TYDEV,
MSCI SC,SRRA,2022-06-27,2022-06-29,Delete,54.95,Health Care,-104126,-5.7,-0.32,Acq for $55 per share in cash,
SP400,POR,2022-06-24,2022-06-28,Add,45.5,Utilities,9787873,-,9.42,Replaces Digital Turbine Inc (XNAS: APPS) in the SP400,
SP400,APPS,2022-06-24,2022-06-28,Delete,17.39,Information Technology,-9688149,-,-2.58,Moved to SP600,
SP600,APPS,2022-06-24,2022-06-28,Add,17.39,Information Technology,11594015,-,3.09,Moved from SP400,
SP600,TVTY,2022-06-24,2022-06-28,Delete,,Health Care,-6021252,-,-,"Stone Point Capital LLC is to acquire Tivity Health, Inc (XNAS: TVTY) for 32.50 USD cash per share. The transaction is expected to be completed on June 28. If TVTY suspends prior to the removal date, SPDJI will remove TVTY at the NASDAQ last traded close or the deal price, which ever is lower.",
MSCI SC,MSP,2022-06-23,2022-06-27,Delete,35.18,Information Technology,-,-,-,Acq for $35.50 per share in cash. Deal has closed,
MSCI SC,CNR,2022-06-22,2022-06-24,Delete,24.43,Industrials,-499827,-12.2,-0.28,Acq for $24.65/share in cash.,
SP400,WTFC US,2022-06-17,2022-06-24,Upweight,78.27,Financials,329250,25.8,0.63,Secondary share offering,
Russell 2000,APTS US,2022-06-21,2022-06-23,Delete,24.98,Real Estate,-6317162,-157.8,-3.27,Acq by BX for $25 per share in cash. Exp. LDOT 6/23,
Russell 2000,SAFM US,2022-06-21,2022-06-23,Delete,212.77,Consumer Staples,-2748682,-584.8,-9.32,Acq by Cargill for $203 per share in cash. Exp LDOT TBA,
MSCI SC,SRRK US,2022-06-17,2022-06-22,Upweight,5.39,Health Care,123287,0.7,0.07,Primary share offering,
SP600,EYE,2022-06-13,2022-06-15,Add,39.62,Consumer Discretionary,11230796,-,16.17,Replaces Renewable Energy Group Inc (XNAS: REGI),
SP600,REGI,2022-06-13,2022-06-15,Delete,-,Energy,-7007777,-,-,"Chevron Corp (XNYS: CVX) has acquired Renewable Energy Group Inc (XNAS: REGI) for $61.50 USD cash per share. The transaction is expected to close June 13. REGI has been suspended on NASDAQ. For index calculation purposes, S&P DJI will remove REGI at the last traded price of $61.50 USD.",
Russell 1000,WTFC,2022-06-09,2022-06-10,Upweight,87.67,Financials,109406,9.6,0.25,Equity Offering,
Russell 2000,EGRX,2022-06-06,2022-06-08,Upweight,46.98,Health Care,19246,0.9,0.14,Acq. ACPH BB for cash & stock,
MSCI SC,GEVO,2022-06-06,2022-06-08,Upweight,3.04,Energy,293333,0.9,0.03,Equity offering,
Russell 2000,APTS US,2022-06-02,2022-06-08,Delete,24.96,Real Estate,-6317162,-157.7,-4.34,Acquired for $25 per share in cash. Exp. LDOT 6/8,
SP500,VICI,2022-06-03,2022-06-07,Add,32.45,Real Estate,146440651,4752,9.06,Replaces CERN in SP500,
SP500,CERN,2022-06-03,2022-06-07,Delete,94.97,Health Care,-51106535,-4853.6,-14.76,ORCL acq. CERN for $95.00 per share. CERN exp. LDOT 6/7,
Russell 1000,AMT,2022-06-03,2022-06-07,Upweight,267.36,Real Estate,369957,98.9,0.17,Equity Offering,
MSCI Std,CERN,2022-06-03,2022-06-07,Delete,94.97,Health Care,-7333602,-696.5,-2.12,ORCL acq. CERN for $95.00 per share. CERN exp. LDOT 6/7,
MSCI SC,HTH,2022-06-01,2022-06-03,Upweight,29.93,Financials,-104728,-3.1,-0.05,Dutch auction buyback,
SP500,RJF,2022-05-31,2022-06-02,Upweight,98.49,Financials,1315550,129.6,0.98,RJF acquired TSC for $6.00 & 0.25 RJF per TSC held. TSC has been halted.,
MSCI Std,RJF,2022-05-31,2022-06-02,Upweight,98.49,Financials,188895,18.6,0.14,RJF acquired TSC for $6.00 & 0.25 RJF per TSC held. TSC has been halted.,
MSCI SC,TSC,2022-05-31,2022-06-02,Delete,30.58,Financials,-,-,-,RJF acquired TSC for $6.00 & 0.25 RJF per TSC held. TSC has been halted.,
SP400,QDEL,2022-05-26,2022-05-31,Downweight,88.49,Health Care,1328404,-,-,QDEL acquired OCDX for $7.14 and 0.1055 QDEL shares for every OCDX share held. Deal has closed.,
SP400,GXO,2022-05-19,2022-05-23,Upweight,52.89,Industrials,347346,18.4,0.26,GXO acq. CLG LN in a cash and stock deal expected to close 5/24,
MSCI SC,GXO,2022-05-19,2022-05-23,Upweight,52.89,Industrials,29660,1.6,0.02,GXO acq. CLG LN in a cash and stock deal expected to close 5/24,
MSCI SC,ATRS,2022-05-19,2022-05-23,Delete,5.58,Health Care,-1421555,-7.9,-0.16,Acq. by HALO for $5.60 per share in cash. Exp. LDOT 5/23,
Russell 1000,GXO,2022-05-18,2022-05-23,Upweight,53.4,Industrials,133632,7.1,0.1,GXO acq. CLG LN in a cash and stock deal expected to close 5/24,
MSCI Std,TTWO,2022-05-18,2022-05-20,Upweight,123.05,Communication Services,1152304,141.8,0.43,TTWO is to acquire ZNGA for $3.50 and 0.0406 TTWO per ZNGA share held. ZNGA exp. LDOT 5/20,
MSCI SC,ZNGA,2022-05-18,2022-05-20,Delete,8.46,Communication Services,-8378958,-70.9,-0.29,TTWO is to acquire ZNGA for $3.50 and 0.0406 TTWO per ZNGA share held. ZNGA exp. LDOT 5/20,
MSCI SC,ACRE,2022-05-18,2022-05-20,Upweight,14.3,Financials,60367,0.9,0.08,Equity Offering,
Russell 1000,TTWO,2022-05-16,2022-05-20,Upweight,110.11,Communication Services,-,-,-,TTWO is to acquire ZNGA for $3.50 and 0.0406 TTWO per ZNGA held. ZNGA exp. LDOT 5/20,
Russell 1000,ZNGA,2022-05-16,2022-05-20,Delete,7.92,Communication Services,-,-,-,TTWO is to acquire ZNGA for $3.50 and 0.0406 TTWO per ZNGA held. ZNGA exp. LDOT 5/20,
SP500,TTWO,2022-05-13,2022-05-20,Upweight,109.93,Communication Services,7430815,816.9,3.37,TTWO is to acquire ZNGA for $3.50 USD and 0.0406 TTWO per ZNGA held. ZNGA exp. LDOT 5/20,
Russell 1000,NLY,2022-05-17,2022-05-19,Upweight,6.45,Financials,3552341,22.9,0.12,Equity offering,
MSCI Std,NLY,2022-05-17,2022-05-19,Upweight,6.45,Financials,2756155,17.8,0.09,Equity offering,
MSCI SC,ZNTL,2022-05-16,2022-05-18,Upweight,24.41,Health Care,201653,4.9,0.18,Public offering,
MSCI SC,MIME,2022-05-16,2022-05-18,Delete,79.8,Information Technology,-555060,-44.3,-0.54,Acquired for $80.00/share in cash. Exp. LDOT 5/18,
SP400,MIME,2022-05-12,2022-05-18,Delete,79.83,Information Technology,-6836328,-545.7,-7.35,Acquired for $80.00/share in cash. Exp. LDOT 5/18,
SP400,IRT,2022-05-12,2022-05-18,Add,22.44,Real Estate,24230554,543.7,6.89,Moved from SP600,
SP600,IRT,2022-05-12,2022-05-18,Delete,22.44,Real Estate,-28997221,-650.7,-8.24,Moved to SP400,
SP600,AOSL,2022-05-12,2022-05-18,Add,33.2,Information Technology,2772855,92.1,4.68,Replaces IRT in the SP600,
Russell 2000,MIME,2022-05-12,2022-05-18,Delete,79.83,Information Technology,-8536516,-681.5,-9.18,Acquired for $80.00/share in cash. Exp. LDOT 5/18,
SP600,EPAY,2022-05-12,2022-05-16,Delete,56.99,Information Technology,-,-,-,Acquired for $57/share in cash. EPAY has been halted.,
SP600,DVAX,2022-05-12,2022-05-16,Add,7.93,Health Care,14658374,116.2,8.46,Replaces EPAY in the SP600,
MSCI SC,XENT,2022-05-12,2022-05-16,Delete,28.24,Health Care,-,-,-,Acquired for $28.25/share in cash. XENT has been halted.,
MSCI SC,EPAY,2022-05-12,2022-05-16,Delete,56.99,Information Technology,-,-,-,Acquired for $57/share in cash. EPAY has been halted.,
S&P Total Market,LUB,2022-05-11,2022-05-13,Delete,-,Consumer Discretionary,-22179,-,-,Luby's Inc (Stock Key: 4977) will be deleted from S&P DJ indices at last trade as a result of the previously approved Plan of Liquidation and Dissolution.,
S&P Completion,LUB,2022-05-11,2022-05-13,Delete,-,Consumer Discretionary,-280257,-,-,Luby's Inc (Stock Key: 4977) will be deleted from S&P DJ indices at last trade as a result of the previously approved Plan of Liquidation and Dissolution.,
S&P Total Market,ESBK,2022-05-10,2022-05-13,Delete,-,Financials,-3083,-,-,"Community Bank System Inc (XNYS: CBU) is to acquire Elmira Savings Bank NY (XNAS: ESBK) for $23.10 USD cash per share. The transaction is expected to be completed May 13. If ESBK is suspended before the removal date, SPDJI will drop ESBK at its last traded NASDAQ price or the deal price, whichever is lower.",
S&P Completion,ESBK,2022-05-10,2022-05-13,Delete,-,Financials,-38961,-,-,"Community Bank System Inc (XNYS: CBU) is to acquire Elmira Savings Bank NY (XNAS: ESBK) for $23.10 USD cash per share. The transaction is expected to be completed May 13. If ESBK is suspended before the removal date, SPDJI will drop ESBK at its last traded NASDAQ price or the deal price, whichever is lower.",
S&P Total Market,AFI,2022-05-09,2022-05-11,Delete,-,Industrials,,,,"Armstrong Flooring Inc. (Stock Key: 690302) filed for bankruptcy and will be deleted from the S&P DJ indices. Based on trading status, the price used to drop the company will be as follows: 1. Closing market price on its primary exchange on the day it is removed 2. OTC market price 3. Zero price.",
S&P Completion,AFI,2022-05-09,2022-05-11,Delete,-,Industrials,,,,"Armstrong Flooring Inc. (Stock Key: 690302) filed for bankruptcy and will be deleted from the S&P DJ indices. Based on trading status, the price used to drop the company will be as follows: 1. Closing market price on its primary exchange on the day it is removed 2. OTC market price 3. Zero price.",
Russell 1000,FRPT,2022-05-04,2022-05-06,Upweight,80.62,Consumer Staples,181344,14.6,0.26,Primary share offering,
